concurrency,method,rps,avg_ms,ok,total
10,ZKP,15.3276,283.69,10,10
10,OAuth2 PKCE,95.6081,33.26,10,10
10,OAuth2 Simple,116.5644,23.41,10,10
10,Authlib PKCE,659.5305,1.28,10,10
25,ZKP,14.4112,445.12,25,25
25,OAuth2 PKCE,89.1229,76.51,25,25
25,OAuth2 Simple,81.2803,84.2,25,25
25,Authlib PKCE,718.4094,1.16,25,25
50,ZKP,13.7687,1132.55,50,50
50,OAuth2 PKCE,94.1629,98.07,50,50
50,OAuth2 Simple,69.4146,116.79,50,50
50,Authlib PKCE,804.1197,1.09,50,50
100,ZKP,15.5484,1856.46,100,100
100,OAuth2 PKCE,107.8871,188.66,100,100
100,OAuth2 Simple,93.7643,191.62,100,100
100,Authlib PKCE,776.4747,1.07,100,100
