Method,Name,Error,Occurrences
ZKP,full_zkp_login,RuntimeError('commit failed: 0'),375
POST,/authlib/oauth/token,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",1
ZKP,full_zkp_login,RuntimeError('verify failed: 0'),3
POST,/login/commit,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",375
AUTHLIB,full_authlib_pkce_login,RuntimeError('POST authorize failed: 0'),8
POST,/login/verify,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",3
POST,/oauth/pkce/token,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",1
OAUTH2,oauth_pkce_login,RuntimeError('token failed: 0'),1
OAUTH2,oauth_pkce_login,RuntimeError('POST authorize failed: 0'),8
ZKP,full_zkp_login,RuntimeError('commit failed: 409'),2
POST,/authlib/oauth/authorize,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",8
POST,/oauth/simple/authorize,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",14
POST,/oauth/pkce/authorize,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",8
GET,GET /authlib/oauth/authorize,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",391
AUTHLIB,full_authlib_pkce_login,RuntimeError('token failed: 0'),1
OAUTH2,oauth_pkce_login,RuntimeError('GET authorize failed: 0'),394
GET,GET /oauth/simple/authorize,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",378
AUTHLIB,full_authlib_pkce_login,RuntimeError('GET authorize failed: 0'),391
OAUTH2,oauth_simple_login,RuntimeError('token failed: 0'),2
POST,/login/commit,HTTPError('409 Client Error: CONFLICT for url: /login/commit'),2
OAUTH2,oauth_simple_login,RuntimeError('POST authorize failed: 0'),14
GET,GET /oauth/pkce/authorize,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",394
OAUTH2,oauth_simple_login,RuntimeError('GET authorize failed: 0'),378
POST,/oauth/simple/token,"OSError(10048, '[WinError 10048] Only one usage of each socket address (protocol/network address/port) is normally permitted.')",2
