Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/authlib/oauth/authorize,2806,0,89,409.04910370668887,2.1754000044893473,4991.745800012723,126.0,47.06736651258737,0.0,89,130,170,200,1200,2700,4200,4600,5000,5000,5000
POST,/authlib/register,135,0,170,1190.9441488876905,47.803200024645776,4590.765300003113,37.0,2.264467027512222,0.0,170,1600,2400,2600,3700,4500,4600,4600,4600,4600,4600
POST,/login/commit,1037,3,400,952.446402700269,22.06099999602884,9503.072099993005,154.6923818707811,17.39446153726055,0.0503214895002716,400,990,1200,1400,2500,3500,4800,5600,7200,9500,9500
POST,/login/verify,972,10,1200,1839.5453596704363,21.568800002569333,11229.297999991104,192.75102880658437,16.304162598088,0.16773829833423867,1200,1900,2500,3100,4300,6000,7200,7800,11000,11000,11000
POST,/oauth/pkce/authorize,2204,0,86,419.9961250450065,2.650000009452924,4801.428800012218,347.0,36.969520952866205,0.0,86,130,170,200,1900,2700,4300,4500,4800,4800,4800
POST,/oauth/pkce/register,135,0,240,1241.160288148482,67.75779998861253,4732.608499994967,40.0,2.264467027512222,0.0,240,1600,2400,2600,3700,4500,4700,4700,4700,4700,4700
POST,/oauth/simple/authorize,2170,0,87,408.5430449771685,2.8919999895151705,4807.644599990454,347.0,36.39921073852979,0.0,87,130,160,190,1700,2800,4300,4500,4800,4800,4800
POST,/oauth/simple/register,135,0,270,1292.9045681455775,66.03670000913553,5140.773599996464,42.0,2.264467027512222,0.0,270,2000,2500,2700,3700,4600,5100,5100,5100,5100,5100
POST,/register,131,1,1300,2120.494325953191,93.59259999473579,10343.647800007602,25.83969465648855,2.1973717081785265,0.01677382983342387,1300,2900,3500,4000,4900,5900,7500,7500,10000,10000,10000
GET,GET /oauth/pkce/authorize,2262,0,82,352.61303572078407,1.9490999984554946,4987.599500018405,1124.0,37.94240308320479,0.0,82,120,150,180,980,2500,3600,4400,4700,5000,5000
GET,GET /oauth/simple/authorize,2222,0,81,376.19644432942624,1.928800018504262,4771.406099986052,1126.0,37.27144988986783,0.0,81,120,150,190,1100,2600,3600,4400,4700,4800,4800
AUTHLIB,full_authlib_pkce_login,2806,0,89,409.100736778728,2.217200002633035,4991.808699996909,0.0,47.06736651258737,0.0,89,130,170,200,1200,2700,4200,4600,5000,5000,5000
ZKP,full_zkp_login,975,13,2100,2716.7718923083207,60.8121000113897,15055.027200025506,0.0,16.354484087588272,0.21805978783451027,2100,3200,4000,4400,6300,7700,8800,9900,15000,15000,15000
OAUTH2,oauth_pkce_login,2204,0,190,755.9667536295195,5.069899983936921,8843.003900023177,0.0,36.969520952866205,0.0,190,290,410,740,2800,4200,4900,5400,8000,8800,8800
OAUTH2,oauth_simple_login,2170,0,190,755.2261404144848,5.178499995963648,9106.355600000825,0.0,36.39921073852979,0.0,190,290,420,900,2700,4100,4800,7100,8400,9100,9100
,Aggregated,22364,27,120,681.9749388303024,1.928800018504262,15055.027200025506,325.65793239134325,375.12993039469137,0.4528934055024444,120,210,380,850,2500,3800,4700,5900,9000,12000,15000
